Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;
0,623;-0,01962;0,01962;-0,26487;;-0,00775;0,01180;-0,17763;;-0,00234;0,00356;-0,05532;;1623;-2;2;-27;;;;;
0,632;-0,01962;0,02943;-0,27468;;-0,00793;0,01202;-0,18006;;-0,00241;0,00367;-0,05693;;1632;-2;3;-28;;;;;
0,632;-0,01962;0,02943;-0,27468;;-0,00793;0,01202;-0,18006;;-0,00241;0,00367;-0,05693;;1632;-2;3;-28;;;;;
0,640;-0,01962;0,00981;-0,29430;;-0,00808;0,01217;-0,18233;;-0,00248;0,00376;-0,05838;;1640;-2;1;-30;;;;;
0,640;-0,01962;0,00981;-0,29430;;-0,00808;0,01217;-0,18233;;-0,00248;0,00376;-0,05838;;1640;-2;1;-30;;;;;
0,652;-0,00981;0,02943;-0,27468;;-0,00826;0,01241;-0,18575;;-0,00257;0,00391;-0,06059;;1652;-1;3;-28;;;;;
0,652;-0,00981;0,02943;-0,27468;;-0,00826;0,01241;-0,18575;;-0,00257;0,00391;-0,06059;;1652;-1;3;-28;;;;;
0,660;-0,00981;0,00981;-0,29430;;-0,00834;0,01257;-0,18802;;-0,00264;0,00401;-0,06208;;1660;-1;1;-30;;;;;
0,661;-0,00981;0,00981;-0,29430;;-0,00835;0,01258;-0,18832;;-0,00265;0,00402;-0,06227;;1661;-1;1;-30;;;;;
0,672;-0,00981;0,00000;-0,28449;;-0,00846;0,01263;-0,19150;;-0,00274;0,00416;-0,06436;;1672;-1;0;-29;;;;;
0,673;-0,00981;0,00000;-0,28449;;-0,00847;0,01263;-0,19179;;-0,00275;0,00418;-0,06455;;1673;-1;0;-29;;;;;
0,681;-0,00981;0,00000;-0,29430;;-0,00854;0,01263;-0,19410;;-0,00282;0,00428;-0,06610;;1681;-1;0;-30;;;;;
0,681;-0,00981;0,00000;-0,29430;;-0,00854;0,01263;-0,19410;;-0,00282;0,00428;-0,06610;;1681;-1;0;-30;;;;;
0,689;-0,00981;0,02943;-0,30411;;-0,00862;0,01275;-0,19649;;-0,00289;0,00438;-0,06766;;1689;-1;3;-31;;;;;
0,693;-0,00981;0,02943;-0,30411;;-0,00866;0,01287;-0,19771;;-0,00292;0,00443;-0,06845;;1693;-1;3;-31;;;;;
0,701;-0,00981;0,00981;-0,28449;;-0,00874;0,01302;-0,20007;;-0,00299;0,00453;-0,07004;;1701;-1;1;-29;;;;;
0,701;-0,00981;0,00981;-0,28449;;-0,00874;0,01302;-0,20007;;-0,00299;0,00453;-0,07004;;1701;-1;1;-29;;;;;
0,710;-0,00981;-0,00981;-0,27468;;-0,00883;0,01302;-0,20258;;-0,00307;0,00465;-0,07185;;1710;-1;-1;-28;;;;;
0,713;-0,00981;-0,00981;-0,27468;;-0,00886;0,01299;-0,20341;;-0,00310;0,00469;-0,07246;;1713;-1;-1;-28;;;;;
0,722;0,00000;0,00981;-0,28449;;-0,00890;0,01299;-0,20592;;-0,00318;0,00481;-0,07430;;1722;0;1;-29;;;;;
0,722;0,00000;0,00981;-0,28449;;-0,00890;0,01299;-0,20592;;-0,00318;0,00481;-0,07430;;1722;0;1;-29;;;;;
0,730;-0,02943;0,03924;-0,30411;;-0,00902;0,01319;-0,20828;;-0,00325;0,00491;-0,07596;;1730;-3;4;-31;;;;;
0,730;-0,02943;0,03924;-0,30411;;-0,00902;0,01319;-0,20828;;-0,00325;0,00491;-0,07596;;1730;-3;4;-31;;;;;
0,742;-0,00981;0,03924;-0,29430;;-0,00926;0,01366;-0,21187;;-0,00336;0,00507;-0,07848;;1742;-1;4;-30;;;;;
0,742;-0,00981;0,03924;-0,29430;;-0,00926;0,01366;-0,21187;;-0,00336;0,00507;-0,07848;;1742;-1;4;-30;;;;;
0,750;0,00000;0,01962;-0,28449;;-0,00929;0,01390;-0,21418;;-0,00343;0,00518;-0,08018;;1750;0;2;-29;;;;;
0,751;0,00000;0,01962;-0,28449;;-0,00929;0,01392;-0,21447;;-0,00344;0,00520;-0,08040;;1751;0;2;-29;;;;;
0,763;-0,00981;0,01962;-0,27468;;-0,00935;0,01415;-0,21782;;-0,00355;0,00536;-0,08299;;1763;-1;2;-28;;;;;
0,763;-0,00981;0,01962;-0,27468;;-0,00935;0,01415;-0,21782;;-0,00355;0,00536;-0,08299;;1763;-1;2;-28;;;;;
0,771;-0,00981;0,01962;-0,26487;;-0,00943;0,01431;-0,21998;;-0,00363;0,00548;-0,08474;;1771;-1;2;-27;;;;;
0,771;-0,00981;0,01962;-0,26487;;-0,00943;0,01431;-0,21998;;-0,00363;0,00548;-0,08474;;1771;-1;2;-27;;;;;
0,779;-0,00981;0,00981;-0,28449;;-0,00951;0,01443;-0,22218;;-0,00370;0,00559;-0,08651;;1779;-1;1;-29;;;;;
0,783;-0,00981;0,00981;-0,28449;;-0,00955;0,01446;-0,22331;;-0,00374;0,00565;-0,08740;;1783;-1;1;-29;;;;;
0,791;-0,00981;0,00000;-0,28449;;-0,00963;0,01450;-0,22559;;-0,00382;0,00577;-0,08920;;1791;-1;0;-29;;;;;
0,792;-0,00981;0,00000;-0,28449;;-0,00964;0,01450;-0,22588;;-0,00383;0,00578;-0,08942;;1792;-1;0;-29;;;;;
0,799;-0,00981;0,00981;-0,30411;;-0,00971;0,01454;-0,22794;;-0,00390;0,00588;-0,09101;;1799;-1;1;-31;;;;;
0,804;-0,00981;0,00981;-0,30411;;-0,00976;0,01459;-0,22946;;-0,00394;0,00596;-0,09216;;1804;-1;1;-31;;;;;
0,812;0,00000;0,02943;-0,25506;;-0,00980;0,01474;-0,23169;;-0,00402;0,00607;-0,09400;;1812;0;3;-26;;;;;
0,812;0,00000;0,02943;-0,25506;;-0,00980;0,01474;-0,23169;;-0,00402;0,00607;-0,09400;;1812;0;3;-26;;;;;
0,820;-0,02943;0,02943;-0,27468;;-0,00991;0,01498;-0,23381;;-0,00410;0,00619;-0,09586;;1820;-3;3;-28;;;;;
0,820;-0,02943;0,02943;-0,27468;;-0,00991;0,01498;-0,23381;;-0,00410;0,00619;-0,09586;;1820;-3;3;-28;;;;;
0,832;-0,01962;0,00981;-0,27468;;-0,01021;0,01522;-0,23711;;-0,00422;0,00637;-0,09869;;1832;-2;1;-28;;;;;
0,833;-0,01962;0,00981;-0,27468;;-0,01023;0,01523;-0,23738;;-0,00423;0,00639;-0,09892;;1833;-2;1;-28;;;;;
0,841;-0,02943;0,01962;-0,28449;;-0,01042;0,01534;-0,23962;;-0,00432;0,00651;-0,10083;;1841;-3;2;-29;;;;;
0,841;-0,02943;0,01962;-0,28449;;-0,01042;0,01534;-0,23962;;-0,00432;0,00651;-0,10083;;1841;-3;2;-29;;;;;
0,853;-0,01962;0,02943;-0,26487;;-0,01072;0,01564;-0,24292;;-0,00444;0,00670;-0,10373;;1853;-2;3;-27;;;;;
0,853;-0,01962;0,02943;-0,26487;;-0,01072;0,01564;-0,24292;;-0,00444;0,00670;-0,10373;;1853;-2;3;-27;;;;;
0,861;0,00000;0,00000;-0,26487;;-0,01080;0,01575;-0,24503;;-0,00453;0,00682;-0,10568;;1861;0;0;-27;;;;;
0,861;0,00000;0,00000;-0,26487;;-0,01080;0,01575;-0,24503;;-0,00453;0,00682;-0,10568;;1861;0;0;-27;;;;;
0,869;-0,01962;0,02943;-0,32373;;-0,01087;0,01587;-0,24739;;-0,00461;0,00695;-0,10765;;1869;-2;3;-33;;;;;
0,873;-0,01962;0,02943;-0,32373;;-0,01095;0,01599;-0,24868;;-0,00466;0,00701;-0,10864;;1873;-2;3;-33;;;;;
0,882;-0,00981;0,01962;-0,27468;;-0,01109;0,01621;-0,25138;;-0,00476;0,00716;-0,11089;;1882;-1;2;-28;;;;;
0,882;-0,00981;0,01962;-0,27468;;-0,01109;0,01621;-0,25138;;-0,00476;0,00716;-0,11089;;1882;-1;2;-28;;;;;
0,890;-0,01962;0,03924;-0,27468;;-0,01120;0,01645;-0,25357;;-0,00485;0,00729;-0,11291;;1890;-2;4;-28;;;;;
0,894;-0,01962;0,03924;-0,27468;;-0,01128;0,01660;-0,25467;;-0,00489;0,00735;-0,11393;;1894;-2;4;-28;;;;;
0,902;-0,00981;0,00000;-0,27468;;-0,01140;0,01676;-0,25687;;-0,00498;0,00749;-0,11597;;1902;-1;0;-28;;;;;
0,902;-0,00981;0,00000;-0,27468;;-0,01140;0,01676;-0,25687;;-0,00498;0,00749;-0,11597;;1902;-1;0;-28;;;;;
0,910;-0,00981;0,00981;-0,28449;;-0,01148;0,01680;-0,25911;;-0,00507;0,00762;-0,11804;;1910;-1;1;-29;;;;;
0,910;-0,00981;0,00981;-0,28449;;-0,01148;0,01680;-0,25911;;-0,00507;0,00762;-0,11804;;1910;-1;1;-29;;;;;
0,922;0,00000;0,01962;-0,30411;;-0,01154;0,01698;-0,26264;;-0,00521;0,00782;-0,12117;;1922;0;2;-31;;;;;
